STEP,LAPV,TENG,LAPM,prevF,nextF,MV_STEP,ratio,trend,IMG_PATH,due
9,28.10655,5272.75119,1.09963,37.91141,24.07652,-8,0.7413744305474262,down,/home/pi/arducam/album/IMG_1589706631.png,big
10,24.07652,4824.48477,1.06528,28.10655,24.07652,-9,0.8566159845302963,down,/home/pi/arducam/album/IMG_1589706633.png,big
1,1160.26076,26026.24742,4.01863,1160.26076,1151.00368,0,0,up,/home/pi/arducam/album/IMG_1589706640.png,small
2,1151.00368,25865.29566,4.02194,1160.26076,1150.50968,-1,0.9920215521207493,down,/home/pi/arducam/album/IMG_1589706642.png,small
3,1150.50968,25868.16031,4.03107,1151.00368,1060.51819,-2,0.9995708093652662,down,/home/pi/arducam/album/IMG_1589706644.png,small
4,1060.51819,25841.79227,3.80877,1150.50968,376.62537,-3,0.9217811970082687,down,/home/pi/arducam/album/IMG_1589706646.png,big
5,376.62537,18222.80298,2.51992,1060.51819,124.20653,-4,0.35513334288023857,down,/home/pi/arducam/album/IMG_1589706648.png,big
6,124.20653,11591.64848,1.71673,376.62537,58.35221,-5,0.3297880065806507,down,/home/pi/arducam/album/IMG_1589706649.png,big
7,58.35221,8127.84262,1.37119,124.20653,36.97449,-6,0.4697998567386111,down,/home/pi/arducam/album/IMG_1589706651.png,big
8,36.97449,6288.48068,1.20072,58.35221,27.49821,-7,0.6336433530109657,down,/home/pi/arducam/album/IMG_1589706653.png,big
9,27.49821,5217.09521,1.0986,36.97449,23.56108,-8,0.7437076211193177,down,/home/pi/arducam/album/IMG_1589706655.png,big
10,23.56108,4766.00972,1.05791,27.49821,23.56108,-9,0.8568223167980752,down,/home/pi/arducam/album/IMG_1589706657.png,big
1,922.12445,20768.41766,3.86854,922.12445,911.5839,0,0,up,/home/pi/arducam/album/IMG_1589706702.png,small
2,911.5839,20568.89104,3.85136,922.12445,898.24202,-1,0.9885692760884932,down,/home/pi/arducam/album/IMG_1589706704.png,small
3,898.24202,20235.51174,3.81099,911.5839,816.84493,-2,0.9853640679700465,down,/home/pi/arducam/album/IMG_1589706706.png,small
4,816.84493,19841.38951,3.57847,898.24202,256.41176,-3,0.9093817833193775,down,/home/pi/arducam/album/IMG_1589706708.png,big
5,256.41176,14024.58228,2.29938,816.84493,81.07079,-4,0.3139050639636094,down,/home/pi/arducam/album/IMG_1589706710.png,big
6,81.07079,8768.18642,1.57691,256.41176,36.30778,-5,0.3161742269543331,down,/home/pi/arducam/album/IMG_1589706712.png,big
7,36.30778,5967.9919,1.2833,81.07079,22.78303,-6,0.4478527963030828,down,/home/pi/arducam/album/IMG_1589706713.png,big
8,22.78303,4493.38837,1.13341,36.30778,16.93396,-7,0.6274971920618666,down,/home/pi/arducam/album/IMG_1589706715.png,big
9,16.93396,3651.96448,1.05013,22.78303,15.21698,-8,0.7432707589815752,down,/home/pi/arducam/album/IMG_1589706717.png,big
10,15.21698,3456.01135,1.02793,16.93396,15.21698,-9,0.8986072956355159,down,/home/pi/arducam/album/IMG_1589706719.png,big
