STEP,LAPV,TENG,LAPM,S3,prevF,nextF,MV_STEP,ratio,trend,IMG_PATH,due
2,3852.27187,36053.97107,15.14978,0.69713,3896.74704,3900.05065,1,0.9885865904192744,down,/home/pi/arducam/album-V2/IMG_1593334902.png,small
3,3900.05065,36343.86731,15.28516,0.698,3852.27187,3891.71441,0,1.0124027539105125,up,/home/pi/arducam/album-V2/IMG_1593334904.png,small
4,3891.71441,35954.70459,15.29639,0.72945,3900.05065,2842.43535,-1,0.9978625303238049,down,/home/pi/arducam/album-V2/IMG_1593334906.png,small
5,2842.43535,35399.77734,13.40247,0.65599,3891.71441,1173.50568,-2,0.7303812794423422,down,/home/pi/arducam/album-V2/IMG_1593334909.png,small
6,1173.50568,28411.26843,10.15735,0.57524,2842.43535,493.70805,-3,0.4128521973243824,down,/home/pi/arducam/album-V2/IMG_1593334911.png,big
7,493.70805,21117.4585,7.08472,0.45184,1173.50568,272.33429,-4,0.4207121093781157,down,/home/pi/arducam/album-V2/IMG_1593334914.png,big
8,272.33429,16227.7002,5.44006,0.32336,493.70805,182.00036,-5,0.5516099848888427,down,/home/pi/arducam/album-V2/IMG_1593334916.png,big
9,182.00036,13250.08203,4.52295,0.25975,272.33429,147.61414,-6,0.6682976278896058,down,/home/pi/arducam/album-V2/IMG_1593334918.png,big
10,147.61414,11699.06335,4.12805,0.23109,182.00036,147.61414,-7,0.8110650989921119,down,/home/pi/arducam/album-V2/IMG_1593334921.png,big
1,2760.66385,25816.72534,13.42456,0.73453,2760.66385,2748.12207,0,0,up,/home/pi/arducam/album-V2/IMG_1593334965.png,small
2,2748.12207,25226.66956,13.2876,0.73462,2760.66385,2713.76846,-1,0.9954569695256451,down,/home/pi/arducam/album-V2/IMG_1593334967.png,small
3,2713.76846,24881.75989,13.17297,0.74345,2748.12207,2708.60689,-2,0.9874992416184772,down,/home/pi/arducam/album-V2/IMG_1593334970.png,small
4,2708.60689,24810.63843,12.76147,0.71727,2713.76846,1805.9518,-3,0.9980980064894704,down,/home/pi/arducam/album-V2/IMG_1593334972.png,big
5,1805.9518,22717.57471,9.99365,0.63298,2708.60689,756.59425,-4,0.6667456273065894,down,/home/pi/arducam/album-V2/IMG_1593334974.png,big
6,756.59425,18461.35168,6.89648,0.45539,1805.9518,317.49723,-5,0.41894487438701294,down,/home/pi/arducam/album-V2/IMG_1593334977.png,big
7,317.49723,13674.01868,4.63843,0.28548,756.59425,170.57848,-6,0.4196400250200157,down,/home/pi/arducam/album-V2/IMG_1593334979.png,big
8,170.57848,10582.32605,3.51477,0.16696,317.49723,111.43637,-7,0.5372597423920833,down,/home/pi/arducam/album-V2/IMG_1593334981.png,big
9,111.43637,8692.89343,2.89148,0.12456,170.57848,91.8423,-8,0.653285045100648,down,/home/pi/arducam/album-V2/IMG_1593334984.png,big
10,91.8423,7837.48169,2.65601,0.10684,111.43637,91.8423,-9,0.8241680880308646,down,/home/pi/arducam/album-V2/IMG_1593334986.png,big
1,3010.94824,36799.7887,12.75366,0.72392,3010.94824,2949.99223,0,0,up,/home/pi/arducam/album-V2/IMG_1593335009.png,small
2,2949.99223,35881.50464,12.65222,0.71613,3010.94824,2930.07897,-1,0.9797552116007148,down,/home/pi/arducam/album-V2/IMG_1593335011.png,small
3,2930.07897,35802.75244,12.58252,0.71253,2949.99223,2997.17634,-2,0.9932497245933425,down,/home/pi/arducam/album-V2/IMG_1593335013.png,small
4,2997.17634,37248.78442,12.4563,0.71373,2930.07897,1778.90836,-3,1.0228995090872925,up,/home/pi/arducam/album-V2/IMG_1593335016.png,big
5,1778.90836,31716.71497,9.06238,0.59641,2997.17634,795.63446,-4,0.5935280938458228,down,/home/pi/arducam/album-V2/IMG_1593335018.png,big
6,795.63446,26139.06799,6.4165,0.40633,1778.90836,352.04725,-5,0.4472599476681306,down,/home/pi/arducam/album-V2/IMG_1593335021.png,big
7,352.04725,19830.28052,4.54272,0.25947,795.63446,198.20577,-6,0.44247360779220146,down,/home/pi/arducam/album-V2/IMG_1593335023.png,big
